Notebook,Vessel,Temperature,Location,Substrate SMILES,Substrate Conc (M),Catalyst 1,Catalyst1 SMILES,Catalyst1 Conc (M),Reductant,Reductant SMILES,Reductant Conc (M),Solvent1,Analytical Method,number,Output Value
AO-07,1536,50,1:A,COC1=CN(N=C1C(=O)NCC2CCC2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,1,35.138
AO-07,1536,50,2:A,CCS(=O)C1CCCCC1NC(=O)C2=CC3=C(C=C2)C(=O)NC(=S)N3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,2,0
AO-07,1536,50,3:A,COC1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3CCCCC3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,3,22.167
AO-07,1536,50,4:A,C1=CC=C(C=C1)N2C(=NN=N2)SCC3=CC4=NON=C4C=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,4,27.301
AO-07,1536,50,5:A,CN1C2=C(C=N1)C(=CC(=N2)C3=CC=CC=C3)C(=O)NC4=C(N=CC=C4)Cl,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,5,6.095
AO-07,1536,50,6:A,CCOC(C1=C(NC(C2=CC=CC=C2)=O)SC(C)=C1)=O,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,6,23.126
AO-07,1536,50,7:A,C1COC2=C(O1)C=CC(=C2)NC(=O)C3=CC4=C(C=C3)N(C=N4)C5=CC=CC=C5,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,7,88.789
AO-07,1536,50,8:A,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)N3C=NN=N3)SC(F)F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,8,26.514
AO-07,1536,50,9:A,CC1=CC=CC=C1C=CC2=CNC3=CC=CC=C32,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,9,21.512
AO-07,1536,50,10:A,C1CC2=C(C1)N(C(=O)NC2=S)CCC3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,10,57.331
AO-07,1536,50,11:A,C1=CC=C(C=C1)OCCNCC2=CSC3=CC=CC=C32,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,11,10.715
AO-07,1536,50,12:A,CN(C)C1=NC(=NC(=C1)C2=CC=CC=C2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,12,18.141
AO-07,1536,50,13:A,C1=CC=C(C(=C1)C2=NC=CN2)NC(=O)C3=CC=C(C=C3)N4C=CN=N4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,13,88.124
AO-07,1536,50,14:A,C1=CC=C(C(=C1)C2=NNC(=C2)C(=O)NC3=CC=C(C=C3)Cl)O,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,14,11.367
AO-07,1536,50,15:A,COC1=C(C=C(C=C1)C(=O)NCC2=CC=CC=C2F)[N+](=O)[O-],0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,15,2.421
AO-07,1536,50,16:A,CC1=NOC2=C1C(=CC(=N2)C3=CC=CC=C3)C(=O)NC4=CC=NC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,16,7.325
AO-07,1536,50,17:A,C1CN(CCN1CCC2=CC=NC=C2)S(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,17,20.789
